image,venue,city,state,team,conference,capacity,opened,ref,latitude,longitude
,Plumeri Park,Williamsburg,VA,William & Mary,Colonial Athletic,1000,1999,,37.2898694,-76.7326011
,Horner Ballpark,Dallas,TX,Dallas Baptist,Conference USA,2000,2013,[16],32.711911,-96.94536199999999
,FIU Baseball Stadium,Miami,FL,FIU,Conference USA,2000,1996,,25.7525026,-80.37789389999999
,Rudy Abbott Field,Jacksonville,AL,Jacksonville State,Conference USA,1500,1995,[17],33.8255285,-85.7769948
,Liberty Baseball Stadium,Lynchburg,VA,Liberty,Conference USA,2500,2013,,37.3566079,-79.1770343
,J. C. Love Field at Pat Patterson Park,Ruston,LA,Louisiana Tech,Conference USA,3000,1971,,32.5299525,-92.6511967
,Reese Smith Jr. Field,Murfreesboro,TN,Middle Tennessee,Conference USA,2600,1979,,35.8512666,-86.3665035
,Presley Askew Field,Las Cruces,NM,New Mexico State,Conference USA,1000,1982,,32.2790299,-106.7442164
,Don Sanders Stadium,Huntsville,TX,Sam Houston,Conference USA,1164,2006,,30.7134961,-95.5398989
,Nick Denes Field,Bowling Green,KY,Western Kentucky,Conference USA,1500,1968,,36.983269,-86.4609476
,Routine Field,Franklin,WI,Milwaukee,Horizon,4000,2019,,42.917746,-88.01538529999999
,Bill Aker Baseball Complex,Highland Heights,KY,Northern Kentucky,Horizon,500,2001,,39.0283938,-84.4646546
,Oakland Baseball Field,Rochester,MI,Oakland,Horizon,500,—,,42.6736629,-83.21072219999999
,Mastodon Field,Fort Wayne,IN,Purdue Fort Wayne,Horizon,200,—,,41.1188415,-85.1032027
,Nischwitz Stadium,Dayton,OH,Wright State,Horizon,750,1993,,39.7853674,-84.04752710000001
,Eastwood Field,Niles,OH,Youngstown State,Horizon,6000,1999,,41.2186447,-80.755027
,Murray Stadium,Providence,RI,Brown,Ivy,1000,1959,,41.8309152,-71.39383149999999
,Robertson Field at Satow Stadium,New York,NY,Columbia,Ivy,360,1921,,40.8738988,-73.91522320000001
,Hoy Field,Ithaca,NY,Cornell,Ivy,500,1922,,42.4441242,-76.4807209
,Red Rolfe Field at Biondi Park,Hanover,NH,Dartmouth,Ivy,"2,000[18]",2008(@ pre-existing field),,43.7018824,-72.2827135
,Joseph J. O'Donnell Field,Allston,MA,Harvard,Ivy,1600,1898,,42.36720340000001,-71.1285889
,Meiklejohn Stadium,Philadelphia,PA,Penn,Ivy,850,1999,,39.9439966,-75.194052
,Bill Clarke Field,Princeton,NJ,Princeton,Ivy,850,1961,,40.3463317,-74.6482774
,Yale Field,West Haven,CT,Yale,Ivy,6200,1928,,41.3090073,-72.9592516
,Demske Sports Complex,Buffalo,NY,Canisius,Metro Atlantic,1200,1989,,42.9210419,-78.8577028
,Alumni Baseball Diamond,Fairfield,CT,Fairfield,Metro Atlantic,1000,2001,,41.1637788,-73.2585124
,City Park,New Rochelle,NY,Iona,Metro Atlantic,—,—,,40.9300124,-73.7707671
,Van Cortlandt Park,Bronx,NY,Manhattan,Metro Atlantic,3000,1888,,40.8972233,-73.8860668
,James J. McCann Baseball Field,Poughkeepsie,NY,Marist,Metro Atlantic,350,1992,,41.7179485,-73.9344524
,Straw Family Stadium,Emmitsburg,MD,Mount St. Mary's,Metro Atlantic,500,2007,,39.6786527,-77.3445746
,Bobo Field,Lewiston,NY,Niagara,Metro Atlantic,—,—,,43.1365922,-79.02988309999999
,Quinnipiac Baseball Field,Hamden,CT,Quinnipiac,Metro Atlantic,—,—,,41.4205126,-72.8912196
,Sonny Pittaro Field,Lawrenceville,NJ,Rider,Metro Atlantic,2000,—,,40.2824299,-74.7465084
,Siena Baseball Field,Loudonville,NY,Siena,Metro Atlantic,500,1950s,,42.7187596,-73.7499211
,Joseph J. Jaroschak Field,Jersey City,NJ,Saint Peter's,Metro Atlantic,500,1990,,40.7265603,-74.0935298
,Lee R. Jackson Field,Akron,OH,Akron,Mid-American,1500,1967,,41.0742244,-81.512838
,Ball Diamond,Muncie,IN,Ball State,Mid-American,1700,—,,40.2176773,-85.4216732
,Steller Field,Bowling Green,OH,Bowling Green,Mid-American,2500,1964,,41.3808751,-83.6284529
,Bill Theunissen Stadium,Mount Pleasant,MI,Central Michigan,Mid-American,2042,2002,,43.575883,-84.779155
,Oestrike Stadium,Ypsilanti,MI,Eastern Michigan,Mid-American,2500,1971,,42.2573881,-83.6487222
,Olga Mural Field at Schoonover Stadium,Kent,OH,Kent State,Mid-American,1148,2005,,41.1359576,-81.34254849999999
,Stanley G. McKie Field at Joseph P. Hayden Jr. Park,Oxford,OH,Miami (Ohio),Mid-American,1000,2002,,39.5127001,-84.73315269999999
,Ralph McKinzie Field,DeKalb,IL,Northern Illinois,Mid-American,1500,1965,,41.9347219,-88.7799009
,Bob Wren Stadium,Athens,OH,Ohio,Mid-American,4000,1998,,39.3246222,-82.1084233
,Scott Park Baseball Complex,Toledo,OH,Toledo,Mid-American,1000,—,,41.638412,-83.59611000000001
,Hyames Field,Kalamazoo,MI,Western Michigan,Mid-American,1500,1939,,42.2849981,-85.602525
,E. S. Rose Park,Nashville,TN,Belmont,Missouri Valley,750,2011,[19],36.143457,-86.7831437
,Dozer Park,Peoria,IL,Bradley,Missouri Valley,7500,2002,[20],40.6876052,-89.5975345
,Charles H. Braun Stadium,Evansville,IN,Evansville,Missouri Valley,"1,200+",—,[21],37.9760469,-87.5331829
,Duffy Bass Field,Normal,IL,Illinois State,Missouri Valley,"1,000+",1988(Renovated 2008),[22],40.5153211,-88.9992329
,Bob Warn Field at Sycamore Stadium,Terre Haute,IN,Indiana State,Missouri Valley,2000,1978,[23],39.4788556,-87.4161037
,Hammons Field,Springfield,MO,Missouri State,Missouri Valley,10476,2004,[24],37.2115106,-93.2794258
,Reagan Field,Murray,KY,Murray State,Missouri Valley,800,1989(Renovated 2006),[25],36.6233693,-88.31740119999999
,Abe Martin Field,Carbondale,IL,Southern Illinois,Missouri Valley,2000,1964(Renovated 2011),[26],37.7046162,-89.2206542
,Les Miller Field at Curtis Granderson Stadium,Chicago,IL,UIC,Missouri Valley,1000,1996,,41.8654527,-87.6488105
,Emory G. Bauer Field,Valparaiso,IN,Valparaiso,Missouri Valley,500,1970,,41.4607871,-87.03259899999999
,Falcon Baseball Field,Colorado Springs,CO,Air Force,Mountain West,1000,1957,,38.9970678,-104.8435166
,Pete Beiden Field at Bob Bennett Stadium,Fresno,CA,Fresno State,Mountain West,5757,1966,,36.8136886,-119.7559231
,William Peccole Park,Reno,NV,Nevada,Mountain West,3000,1988,,39.5482731,-119.8127651
,Santa Ana Star Field,Albuquerque,NM,New Mexico,Mountain West,1000,late 1960s,,35.0651231,-106.6324424
,Tony Gwynn Stadium,San Diego,CA,San Diego State,Mountain West,3000,1997,,32.774026,-117.0788554
,San Jose Municipal Stadium,San Jose,CA,San Jose State,Mountain West,4200,1942,,37.3204351,-121.8623634
,Earl Wilson Stadium,Paradise,NV,UNLV,Mountain West,2500,1994,,36.11142359999999,-115.1476542
,Balf–Savin Field,New Britain,CT,Central Connecticut,Northeast,500,2010,,41.6965891,-72.75977280000001
,Joe Cannon Stadium,Hanover,MD,Coppin State,Northeast,1500,1990,,39.1532505,-76.7159609
,Soldier Field,Dover,DE,Delaware State,Northeast,500,1958,,39.1844672,-75.5460477
,Naimoli Family Baseball Complex,Teaneck,NJ,Fairleigh Dickinson,Northeast,500,2011,,40.9016254,-74.0278848
,LIU Baseball Stadium,Brookville,NY,LIU,Northeast,—,—,,40.813847,-73.59015769999999
,Hawk Stadium,Princess Anne,MD,Maryland Eastern Shore,Northeast,1000,2008,,38.21137100000001,-75.6872167
,Greater Lawrence Technical High School Field,Andover,MA,Merrimack,Northeast,—,1974,,42.6927278,-71.1954518
,Marty L. Miller Field,Norfolk,VA,Norfolk State,Northeast,1500,1997,,36.8465964,-76.2634807
,Veterans Memorial Park,Bridgeport,CT,Sacred Heart,Northeast,500,2009,,41.2168112,-73.2308288
,Lou Gorman Field,Easton,MA,Stonehill,Northeast,—,—,,42.0585807,-71.08355800000001
,Richmond County Bank Ballpark,Staten Island,NY,Wagner,Northeast,7171,2001,,40.6455625,-74.07719349999999
,Coaches Stadium at Monier Field,Charleston,IL,Eastern Illinois,Ohio Valley,500,1982(renovated 2002),[27],39.4780632,-88.18078589999999
,Lou Brock Sports Complex,St. Charles,MO,Lindenwood,Ohio Valley,700,2015,,38.787441,-90.5066866
,Gary Hogan Field,Little Rock,AR,Little Rock,Ohio Valley,2550,1978,,34.7293237,-92.3301163
,Allen Field,Morehead,KY,Morehead State,Ohio Valley,1000,1973,[28],38.192972,-83.4260559
,Roy E. Lee Field at Simmons Baseball Complex,Edwardsville,IL,SIU Edwardsville,Ohio Valley,1500,1972(Renovated 2014),[29],38.7988051,-90.01792660000001
,Capaha Field,Cape Girardeau,MO,Southeast Missouri State,Ohio Valley,2000,Late 1920s/early 1930s(Renovated 2006),[30],37.3133343,-89.5367522
,USI Baseball Field,Evansville,IN,Southern Indiana,Ohio Valley,1200,1974,,37.9588487,-87.6716699
,Bush Stadium at Averitt Express Baseball Complex,Cookeville,TN,Tennessee Tech,Ohio Valley,1100,1978,[31],36.1775846,-85.5139078
,Skyhawk Baseball Field,Martin,TN,UT Martin,Ohio Valley,500,1974,[32],36.3423692,-88.871321
,Alfred D. Boyer Stadium,Macomb,IL,Western Illinois,Ohio Valley,500,2006,,40.4733114,-90.68634899999999
,Hi Corbett Field,Tucson,AZ,Arizona,Pac-12,9500,1927,,32.2129525,-110.9197125
,Phoenix Municipal Stadium,Phoenix,AZ,Arizona State,Pac-12,8775,1964,,33.4492164,-111.9547754
,Evans Diamond,Berkeley,CA,California,Pac-12,2500,1933,,37.8694247,-122.2633963
,PK Park,Eugene,OR,Oregon,Pac-12,4000,2009,,44.0590435,-123.0654476
,Goss Stadium at Coleman Field,Corvallis,OR,Oregon State,Pac-12,3248,1907,,44.562842,-123.2771362
,Klein Field at Sunken Diamond,Stanford,CA,Stanford,Pac-12,4000,1931,,37.43173,-122.1587444
,Jackie Robinson Stadium,Los Angeles,CA,UCLA,Pac-12,1820,1981,[33],34.0592278,-118.4592393
,Dedeaux Field,Los Angeles,CA,USC,Pac-12,2500,1974,,34.0238376,-118.2898635
,Smith's Ballpark,Salt Lake City,UT,Utah,Pac-12,15411,1994,,40.7405609,-111.8926506
,Husky Ballpark,Seattle,WA,Washington,Pac-12,2200,1998 (Renovated 2014),[34],47.6543873,-122.2983402
,Bailey–Brayton Field,Pullman,WA,Washington State,Pac-12,3500,1980,,46.7351232,-117.1553272
,Johnson Stadium at Doubleday Field,West Point,NY,Army,Patriot,880,1939,,41.3923998,-73.9547362
,Eugene B. Depew Field,Lewisburg,PA,Bucknell,Patriot,500,1999,,40.9522968,-76.891548
,Hanover Insurance Park at Fitton Field,Worcester,MA,Holy Cross,Patriot,3000,1905,,42.2409839,-71.81135700000002
,Kamine Stadium,Forks Township,PA,Lafayette,Patriot,500,1960s,,40.7378009,-75.238322
,J. David Walker Field at Legacy Park,Bethlehem,PA,Lehigh,Patriot,500,2015,,40.5830947,-75.358161
,Terwilliger Brothers Field at Max Bishop Stadium,Annapolis,MD,Navy,Patriot,1500,1962,,38.986881,-76.4948154
,Sewell–Thomas Stadium,Tuscaloosa,AL,Alabama,Southeastern,8500,"1948closed 2015, rebuilt 2016",,33.2048713,-87.53862099999999
,Baum–Walker Stadium,Fayetteville,AR,Arkansas,Southeastern,13472,1996,,36.0498883,-94.1822406
,Samford Stadium – Hitchcock Field at Plainsman Park,Auburn,AL,Auburn,Southeastern,4096,1950rebuilt 1996,,32.5996377,-85.48956489999999
,Florida Ballpark,Gainesville,FL,Florida,Southeastern,7000,2021,[35],29.6364107,-82.3637638
,Foley Field,Athens,GA,Georgia,Southeastern,3291,1966renovated 2015,,33.9408739,-83.37970969999999
,Kentucky Proud Park,Lexington,KY,Kentucky,Southeastern,5000,2018,[36],38.0186731,-84.5035386
,"Alex Box Stadium, Skip Bertman Field",Baton Rouge,LA,LSU,Southeastern,10326,2009,https://lsusports.net/facilities/alex-box-stadium/,30.4056564,-91.1879038
,Swayze Field,Oxford,MS,Mississippi,Southeastern,"11,000+","1948rebuilt 1989, renovated 2010, renovated 2018",,34.362399,-89.52882559999999
,"Dudy Noble Field, Polk–DeMent Stadium",Starkville,MS,Mississippi State,Southeastern,15000,"1967rebuilt 1987, renovated 2001, rebuilt 2019",,33.4630609,-88.7940698
,Taylor Stadium,Columbia,MO,Missouri,Southeastern,3031,2002,,38.9355047,-92.3386596
,Founders Park,Columbia,SC,South Carolina,Southeastern,8242,2009,,33.9865404,-81.042621
,Lindsey Nelson Stadium,Knoxville,TN,Tennessee,Southeastern,4387,1959rebuilt 1993,,35.949736,-83.92927000000002
,Olsen Field at Blue Bell Park,College Station,TX,Texas A&M,Southeastern,6100,1978renovated 2014,,30.6060601,-96.3413557
,Hawkins Field,Nashville,TN,Vanderbilt,Southeastern,3626,2002,,36.1433984,-86.8073934
,Joseph P. Riley Jr. Park,Charleston,SC,The Citadel,Southern,6000,1997,,32.790528,-79.9613184
,Thomas Stadium,Johnson City,TN,East Tennessee State,Southern,1000,2012,,36.3098832,-82.3634988
,Claude Smith Field,Macon,GA,Mercer,Southern,500,—,,32.8279324,-83.65355679999999
,Joe Lee Griffin Stadium,Homewood,AL,Samford,Southern,1000,—,,33.462803,-86.7967674
,UNCG Baseball Stadium,Greensboro,NC,UNC Greensboro,Southern,3500,1999,,36.0676561,-79.8133738
,Hennon Stadium,Cullowhee,NC,Western Carolina,Southern,1500,1978,,35.3006808,-83.1808101
,Gray–Minor Stadium,Lexington,VA,VMI,Southern,1400,2007,,37.7926097,-79.4400745
,Russell C. King Field,Spartanburg,SC,Wofford,Southern,2500,2004,,34.9588822,-81.9307341
,Husky Field,Houston,TX,Houston Christian,Southland,500,1993,[37],29.6924131,-95.5133115
,Daniel Sullivan Field,San Antonio,TX,Incarnate Word,Southland,1000,1989,,29.4686104,-98.47078560000001
,Vincent–Beck Stadium,Beaumont,TX,Lamar,Southland,3500,1969(Renovated 2006following Hurricane Rita),[38][39],30.0346661,-94.07477519999999
,Joe Miller Ballpark,Lake Charles,LA,McNeese,Southland,2000,1965,,30.1728322,-93.2135598
,Maestri Field at Privateer Park,New Orleans,LA,New Orleans,Southland,2900,1979(Renovation 2013),[40],30.0304884,-90.0470967
,Ben Meyer Diamond at Ray E. Didier Field,Thibodaux,LA,Nicholls,Southland,3200,1960,,29.7857095,-90.8021236
,H. Alvin Brown–C. C. Stroud Field,Natchitoches,LA,Northwestern State,Southland,1200,1939,,31.7922682,-93.13146669999999
,Pat Kenelly Diamond at Alumni Field,Hammond,LA,Southeastern Louisiana,Southland,2500,1992,,30.5095415,-90.4706791
