match_quality,venue,closest_park_name,distance_to_closest_park,city,state,team,conference,capacity,opened,latitude,longitude,elevation
Good,Greer Field at Turchin Stadium,Greer Field at Turchin Stadium - Tulane _,63.45046451677701,New Orleans,LA,Tulane,The American,5000,1991(destroyed in 2005 by Hurricane Katrina; rebuilt and reopened in 2007),29.9462748,-90.1155605,1.18e-38
Good,Jerry D. Young Memorial Field,Jerry D. Young Memorial Field - U. Alabama Birmingham ,73.67822307426954,Birmingham,AL,UAB,The American,1000,1984,33.4984935,-86.8105794,186.0037384
Good,Roadrunner Field,Roadrunner Field- UTSA ,267.47518087410845,San Antonio,TX,UTSA,The American,800,1993,29.5837677,-98.6226913,302.2505493
Good,Eck Stadium,Eck Stadium - Wichita State ,76.45421261712931,Wichita,KS,Wichita State,The American,8153,1978(Renovated 2009),37.721955,-97.2881177,426.8837891
Good,Raymond C. Hand Park,Raymond C. Hand Park- Austin Peay ,70.66342980931785,Clarksville,TN,Austin Peay,ASUN,"1,000+",1970(Several renovations),36.5380536,-87.3562753,141.8056641
Bad,Knights Field,Louisville - Jim Patterson Stadium  ,5153.650013470385,Louisville,KY,Bellarmine,ASUN,—,1954,38.2168873,-85.7056446,140.0261841
Bad,Bear Stadium,Arkansas - Baum-Walker Stadium ,189324.96083157582,Conway,AR,Central Arkansas,ASUN,1000,2009,35.0832533,-92.459899,96.2361145
Bad,Turkey Hughes Field,Kentucky - Kentuckyud Park,36085.892887946946,Richmond,KY,Eastern Kentucky,ASUN,500,1960s(Renovated 2009),37.7361549,-84.2998257,308.6896973
Good,Swanson Stadium,Swanson Stadium - Florida Gulf Coast ,72.67765726628207,Fort Myers,FL,Florida Gulf Coast,ASUN,1500,2004,26.4709503,-81.7632771,7.053853512
Bad,John Sessions Stadium,Florida Univ - TEMP,107837.94873475422,Jacksonville,FL,Jacksonville,ASUN,3000,—,30.3514645,-81.6074572,4.446594715
Bad,Fred Stillwell Stadium,Russ Chandler Stadium- Georgia Tech ,33379.48361468858,Kennesaw,GA,Kennesaw State,ASUN,1200,1984,34.0337869,-84.581686,321.1557922
Check,Ken Dugan Field at Stephen Lee Marsh Stadium,Vanderbilt - Hawkins Field ,4611.488939046912,Nashville,TN,Lipscomb,ASUN,1500,1991,36.102381,-86.7987828,169.6248627
Bad,Mike D. Lane Field,Jerry D. Young Memorial Field - U. Alabama Birmingham ,166611.66217519855,Florence,AL,North Alabama,ASUN,—,1984(?),34.8097585,-87.6853515,167.6334991
Bad,Harmon Stadium,Florida Univ - TEMP,108792.88669864164,Jacksonville,FL,North Florida,ASUN,1000,1993,30.2750305,-81.5083789,12.39716053
Bad,Tuckaseegee Dream Fields,Robert and Mariam Hayes Stadium- Charlotte ,20652.074122620324,Charlotte,NC,Queens,ASUN,—,—,35.2458229,-80.9540557,224.7689056
Bad,Melching Field at Conrad Park,John Euliano Park- Central Florida ,46807.84757594673,DeLand,FL,Stetson,ASUN,2500,1999,29.0198191,-81.3018907,11.98989582
Good,Eddie Pellagrini Diamond,Boston C. ,69.06210255886421,Boston,MA,Boston College,Atlantic Coast,2500,2018,42.3439019,-71.1597951,13.70800209
Good,Doug Kingsmore Stadium,Clemson - Doug Kingsmore Stadium,47.518785010378046,Clemson,SC,Clemson,Atlantic Coast,6217,1970,34.6787794,-82.8493165,192.0006256
Good,Jack Coombs Field,Duke - Jack Coombs Field ,59.17526525986759,Durham,NC,Duke,Atlantic Coast,2000,1931,35.9980856,-78.9442361,125.2663422
Good,Mike Martin Field at Dick Howser Stadium,Mike Martin Field at Dick Howser Stadium - Florida State ,82.87039968112289,Tallahassee,FL,Florida State,Atlantic Coast,6700,1983,30.4405434,-84.3040448,21.59014511
Good,Russ Chandler Stadium,Russ Chandler Stadium- Georgia Tech ,75.41713937888532,Atlanta,GA,Georgia Tech,Atlantic Coast,4157,1930,33.777639,-84.3945457,275.0564575
Good,Jim Patterson Stadium,Louisville - Jim Patterson Stadium  ,4.601615122710447,Louisville,KY,Louisville,Atlantic Coast,4000,2005,38.2055156,-85.7628651,140.2866211
Good,Alex Rodriguez Park at Mark Light Field,Miami - Alex Rodriguez Park at Mark Light Field,57.62001959838878,Coral Gables,FL,University of Miami,Atlantic Coast,5000,1973,25.7120599,-80.2822951,3.196041346
Good,Boshamer Stadium,UNC - Boshamer Stadium ,26.92944485469436,Chapel Hill,NC,North Carolina,Atlantic Coast,5000,1972,35.9063145,-79.0427441,125.8752213
Bad,Doak Field,Coleman Field - USA National Baseball Stadium,19196.585936861666,Raleigh,NC,North Carolina State University,Atlantic Coast,3000,1966,35.7873196,-78.6796862,120.4100494
Good,Frank Eck Stadium,Notre Dame ,32.7716010347576,Notre Dame,IN,Notre Dame,Atlantic Coast,2500,1994,41.6962849,-86.2280772,225.9461365
Good,Charles L. Cost Field,Charles L. Cost Field - Pittsburgh ,68.18681301597884,Pittsburgh,PA,Pittsburgh,Atlantic Coast,900,2011,40.4453267,-79.966175,347.5736694
Good,Davenport Field at Disharoon Park,U of Virginia ,73.86356202481527,Charlottesville,VA,Virginia,Atlantic Coast,5500,2000,38.0457546,-78.513342,173.6851654
Good,English Field,Virginia Tech - English Field at Atlantic Union Bank Park ,73.24208831385307,Blacksburg,VA,Virginia Tech,Atlantic Coast,4000,1989,37.217839,-80.4233407,623.3162231
Good,David F. Couch Ballpark,Wake Forrest ,64.90461695851465,Winston-Salem,NC,Wake Forest,Atlantic Coast,3823,1956,36.1298712,-80.2518555,289.337616
Good,T. Henry Wilson Jr. Field,T. Henry Wilson Jr. Field- Davidson ,70.44623134123886,Davidson,NC,Davidson,Atlantic 10,700,1967,35.5042846,-80.840967,244.4828644
Good,Woerner Field,Woerner Field- Dayton ,67.47652039766217,Dayton,OH,Dayton,Atlantic 10,500,2004,39.7346059,-84.203193,221.8783569
Good,Jim Houlihan Park at Jack Coffey Field,Jim Houlihan Park at Jack Coffey Field- Fordham ,78.15334170164013,Bronx,NY,Fordham,Atlantic 10,500,2005,40.8610552,-73.8826819,30.9648056
Good,Spuhler Field,Spuhler Field - George Mason ,71.75871263959142,Fairfax,VA,George Mason,Atlantic 10,900,1986,38.8345236,-77.3179345,121.3474045
Good,Barcroft Park,Barcroft Park - George Washington ,300.49915950243025,Arlington,VA,George Washington,Atlantic 10,500,1993,38.8487929,-77.1019917,22.90987587
Good,Earl Lorden Field,Earl Lorden Field - UMass Amherst ,69.84536604224888,Amherst,MA,"University of Massachusetts, Amherst",Atlantic 10,1000,1971,42.3904634,-72.5352251,47.0904808
Good,Bill Beck Field,Bill Beck Field - Rhode Island ,62.414674760071875,Kingston,RI,Rhode Island,Atlantic 10,1000,1966,41.4853993,-71.5379962,34.32493973
Good,Malcolm U. Pitt Field,Malcolm U. Pitt Field - Richmond ,68.39683749585117,Richmond,VA,Richmond,Atlantic 10,600,—,37.5792523,-77.5409492,50.60505676
Good,Fred Handler Park,Fred Handler Park- St Bonaventure ,70.33321162020154,St. Bonaventure,NY,St. Bonaventure,Atlantic 10,500,1958,42.0787798,-78.4863931,430.5046997
Good,Smithson Field,Smithson Field - Saint Josephs ,68.51038437502228,Merion Station,PA,Saint Joseph's,Atlantic 10,400,2012,39.9957095,-75.2454395,83.24876404
Good,Billiken Sports Center,Billiken Sports Center - St Louis ,328.9487331028281,St. Louis,MO,Saint Louis,Atlantic 10,500,1990,38.633037,-90.2280031,153.7638855
Good,The Diamond,The Diamond- VCU ,74.06441594001166,Richmond,VA,VCU,Atlantic 10,12134,1985,37.5717224,-77.4632055,63.29532623
Good,Bulldog Park,Bulldog Park - Butler ,92.49680324875266,Indianapolis,IN,Butler,Big East,500,—,39.846334,-86.168479,217.5989227
Good,TD Ameritrade Park Omaha,Charles Schwab Field Omaha ,67.41457358713454,Omaha,NE,Creighton,Big East,24505,2011,41.2667611,-95.9314596,297.5004578
Good,Shirley Povich Field,Shirley Povich Field- Georgetown ,78.39923704992485,Bethesda,MD,Georgetown,Big East,1500,2000,39.0310113,-77.1509487,91.93266296
Good,"Mike Sheppard, Sr. Stadium at Owen T. Carroll Field",Sheppard Stadium - Seton Hall ,70.23412229568716,South Orange,NJ,Seton Hall,Big East,261,1907,40.7406714,-74.2481949,74.69132996
Good,Jack Kaiser Stadium,Jack Kaiser Stadium - St Johns ,71.84393564854948,Queens,NY,St. John's,Big East,3500,2000,40.7236818,-73.7914987,28.06645393
Good,Elliot Ballpark,UConn - Elliot Ballpark,26.602376871030557,Storrs,CT,UConn,Big East,"1,500[11]",2021[a],41.8006501,-72.2536518,197.8487396
Good,Villanova Ballpark at Plymouth,Villanova Ballpark at Plymouth - Villanova ,71.64226056253432,Plymouth Meeting,PA,Villanova,Big East,1500,2003,40.1236506,-75.2894035,95.27973175
Good,J. Page Hayden Field,J. Page Hayden Field- Xavier ,90.13273242387376,Cincinnati,OH,Xavier,Big East,500,1920s,39.1499423,-84.4764894,181.2694855
Good,Buccaneer Ballpark,Buccaneer Ballpark- Charleston Southern ,70.1416766621787,North Charleston,SC,Charleston Southern,Big South,1500,—,32.9836917,-80.0670163,10.29676533
Good,John Henry Moss Stadium,John Henry Moss Stadium - Gardnew-Webb ,51.09325820097624,Boiling Springs,NC,Gardner-Webb,Big South,700,2010,35.24377,-81.669082,259.7330627
Good,George S. Erath Field at Coy O. Williard Baseball Stadium,Coy O. Williard Baseball Stadium- High Point ,59.49569692442088,High Point,NC,High Point,Big South,550,2007,35.9751648,-79.9958441,253.5614014
Good,Bolding Stadium,Bolding Stadium - Longwood ,88.99292197440393,Farmville,VA,Longwood,Big South,500,1994,37.2938185,-78.3961318,116.9873886
Good,Presbyterian Baseball Complex,Presbyterian Baseball Complex - Presbyterian ,69.28520889836047,Clinton,SC,Presbyterian,Big South,500,1988,34.4611425,-81.8640922,199.5849457
Good,Radford Baseball Stadium,Radford Baseball Stadium - Radford ,113.45349513107675,Radford,VA,Radford,Big South,700,1986,37.1367865,-80.5391754,530.7021484
Good,Greenwood Baseball Field,Greenwood Baseball Field - UNC Asheville ,72.96043641508706,Asheville,NC,UNC Asheville,Big South,300,1988,35.6168426,-82.5707155,630.6143188
Good,Cleveland S. Harley Baseball Park,Cleveland S. Harley Baseball Park - USC Upstate,422.1928970855203,Spartanburg,SC,USC Upstate,Big South,500,2004,35.0023536,-81.9653883,251.8916168
Good,Winthrop Ballpark,Winthrop Ballpark - Winthrop ,65.52022250105506,Rock Hill,SC,Winthrop,Big South,1800,2007,34.9460337,-81.0194117,198.8408508
Good,Illinois Field,University of Illinois ,60.25325032683405,Champaign,IL,Illinois,Big Ten,3000,1988,40.0971217,-88.2294574,230.4178925
Good,Bart Kaufman Field,Indiana University ,47.100154559613095,Bloomington,IN,Indiana,Big Ten,2500,2013,39.1848834,-86.5223836,243.0321198
Good,Duane Banks Field,University of Iowa ,316.56426739335683,Iowa City,IA,Iowa,Big Ten,3000,1974,41.663778,-91.5546047,216.1651764
Good,Shipley Field,University of Maryland ,51.95733211096687,College Park,MD,Maryland,Big Ten,2500,1965,38.9894267,-76.9443211,35.65171051
Good,Ray Fisher Stadium,U of M ,0.8298386646562643,Ann Arbor,MI,Michigan,Big Ten,4000,1923,42.2678621,-83.7420671,253.7054443
Good,Drayton McLane Baseball Stadium at John H. Kobs Field,OldField (MSU) ,55.50757309444423,East Lansing,MI,Michigan State,Big Ten,4600,1902,42.7323431,-84.4884579,252.9125671
Good,Siebert Field,University of Minnesota ,59.92513741931874,Minneapolis,MN,Minnesota,Big Ten,1500,1971,44.9821897,-93.2292455,254.2904205
Good,Haymarket Park,Nebraska University ,73.4586306721062,Lincoln,NE,Nebraska,Big Ten,8500,2001,40.822845,-96.7131624,347.9354248
Good,Rocky Miller Park,Northwestern University  ,65.55719473159519,Evanston,IL,Northwestern,Big Ten,600,1943,42.0680471,-87.692518,183.1503296
Good,Bill Davis Stadium,Ohio State Uni ,63.75321295265534,Columbus,OH,Ohio State,Big Ten,4450,1997,40.0099182,-83.0259088,224.9793854
Good,Medlar Field at Lubrano Park,Penn State University ,3.131211389776121,University Park,PA,Penn State,Big Ten,5406,2006,40.812278,-77.8524246,345.2424622
Good,Alexander Field,Purdue University ,39.11783773896592,West Lafayette,IN,Purdue,Big Ten,1500,2013,40.4372183,-86.9421323,207.3272705
Good,Bainton Field,Rutgers University ,99.71716548761047,Piscataway,NJ,Rutgers,Big Ten,1500,2007,40.5276451,-74.4424057,27.86833572
Good,Baylor Ballpark,Baylor Ballpark - Baylor University ,82.81765210848204,Waco,TX,Baylor,Big 12,5000,1999,31.5509941,-97.1075414,118.882576
Good,Larry H. Miller Field,Larry H. Miller Field - BYU ,72.50485813265992,Provo,UT,BYU,Big 12,2710,2001,40.2547328,-111.6513737,1420.372925
Check,UC Baseball Stadium,J. Page Hayden Field- Xavier ,3803.9362989727356,Cincinnati,OH,Cincinnati,Big 12,3085,2004,39.1302033,-84.5137747,245.7969513
Bad,Schroeder Park,Reckling Park- Rice ,5939.138051322064,Houston,TX,Houston,Big 12,5000,1995,29.7267987,-95.3453574,11.6844511
Good,Hoglund Ballpark,Hoglund Ballpark - Kansas ,72.73675219089516,Lawrence,KS,Kansas,Big 12,2500,1958,38.9527426,-95.252621,274.7484741
Good,Tointon Family Stadium,Tointon Family Stadium - Kansas State ,69.26357973037071,Manhattan,KS,Kansas State,Big 12,2331,1961,39.1992239,-96.5969735,340.9178162
Good,L. Dale Mitchell Baseball Park,L. Dale Mitchell Baseball Park - Oklahoma ,70.43537514196665,Norman,OK,Oklahoma,Big 12,3180,1982,35.1908778,-97.4460294,348.3063049
Good,O'Brate Stadium,Oklahoma State - O'Brate Stadium,25.589011405061044,Stillwater,OK,Oklahoma State,Big 12,"3,500[13]",2021[a],36.1310616,-97.0687453,278.1031494
Good,UFCU Disch–Falk Field,U of Texas - UFCU Disch–Falk Field,57.57878208802504,Austin,TX,Texas,Big 12,7373,1975,30.2799584,-97.7261606,176.8224335
Good,Lupton Stadium,TCU - Texas Christian ,52.74346585599312,Fort Worth,TX,TCU,Big 12,4500,2003,32.7027992,-97.3721802,203.692215
Good,Dan Law Field at Rip Griffin Park,Texas Tech - Rip Griffin Park  ,77.3305355387669,Lubbock,TX,Texas Tech,Big 12,4368,1926(Renovated 2012),33.5884529,-101.8765955,980.9846802
Good,John Euliano Park,John Euliano Park- Central Florida ,68.43452843914112,Orlando,FL,UCF,Big 12,3600,2001,28.6090475,-81.1953991,22.03911781
Good,Monongalia County Ballpark,Monongalia County Ballpark - WV Black Bears ,85.11049329257847,Granville,WV,West Virginia,Big 12,3500,2015,39.6436986,-79.9958649,349.5673218
Good,Robin Baggett Stadium,Robin Baggett Stadium - Cal Poly ,85.66352591441036,San Luis Obispo,CA,Cal Poly,Big West,1534,2001,35.3069122,-120.6651058,103.931282
Good,Hardt Field,Hardt Field - Cal State Bakersfield ,71.0682715469278,Bakersfield,CA,Cal State Bakersfield,Big West,900,2009,35.3473891,-119.1076226,113.7483826
Good,Goodwin Field,Goodwin Field- Cal State Fullerton ,72.28657871860361,Fullerton,CA,Cal State Fullerton,Big West,3500,1992,33.887139,-117.8853105,77.8183136
Good,Matador Field,Matador Field- Cal State Northridge ,111.72219821077866,Northridge,CA,Cal State Northridge,Big West,1200,1961,34.2452183,-118.5270635,275.4429932
Good,Les Murakami Stadium,"University of HawaiiHonolulu, HI",16.615434755637082,Honolulu,HI,"University of Hawaii, Manoa",Big West,4312,1984,21.2932221,-157.8160896,4.091464043
Good,Blair Field,Blair Field- Long Beach State ,134.99763859878368,Long Beach,CA,Long Beach State,Big West,3283,1958,33.7783672,-118.1388338,9.692743301
Good,Dobbins Stadium,Dobbin's Baseball Complex - UC Davis ,978.5363269691818,Davis,CA,UC Davis,Big West,3500,1986,38.5452508,-121.7482471,13.71647739
Good,Cicerone Field at Anteater Ballpark,Cicerone Field at Anteater Ballpark- UC Irvine ,88.31149434988593,Irvine,CA,UC Irvine,Big West,2900,2002,33.651237,-117.8479574,17.50639343
Good,Riverside Sports Complex,Riverside Sports Complex- UC Riverside ,50.87971621775687,Riverside,CA,UC Riverside,Big West,2500,—,33.9822596,-117.3329542,312.0978394
Good,Triton Ballpark,Triton Ballpark- UC San Diego ,99.43628033754653,La Jolla,CA,UC San Diego,Big West,1200,—,32.8809124,-117.2261784,97.98009491
Good,Caesar Uyesaka Stadium,Caesar Uyesaka Stadium - UC Santa Barbara ,72.94958542316226,Santa Barbara,CA,UC Santa Barbara,Big West,1000,1964,34.4190504,-119.8523306,12.95749187
Good,Jim Perry Stadium,Campbell University - Jim Perry Stadium,82.01883031592811,Buies Creek,NC,Campbell,Colonial Athletic,630,2013,35.409888,-78.7351627,60.51202774
Bad,CofC Baseball Stadium at Patriot's Point,Buccaneer Ballpark- Charleston Southern ,25968.84477531267,Mount Pleasant,SC,Charleston,Colonial Athletic,2000,2001,32.7952232,-79.9022674,6.441978455
Bad,Bob Hannah Stadium,Smithson Field - Saint Josephs ,56642.59004076465,Newark,DE,Delaware,Colonial Athletic,1300,2000,39.6634961,-75.7475911,28.78072548
Bad,Walter C. Latham Park,Coy O. Williard Baseball Stadium- High Point ,46411.144521832095,Elon,NC,Elon,Colonial Athletic,2000,2001,36.1085926,-79.5073424,209.4953918
Bad,University Field,Jack Kaiser Stadium - St Johns ,16224.20917955062,Hempstead,NY,Hofstra,Colonial Athletic,400,2000,40.7206766,-73.5986101,24.46110535
Bad,Monmouth Baseball Field,Rutgers University ,46037.22429226708,West Long Branch,NJ,Monmouth,Colonial Athletic,—,—,40.2785644,-74.0093541,8.556833267
Bad,World War Memorial Stadium,Coy O. Williard Baseball Stadium- High Point ,22794.599666694456,Greensboro,NC,North Carolina A&T,Colonial Athletic,7500,1928,36.0796511,-79.7783344,235.8069916
Check,Parsons Field,Harvard university ,3470.749086844727,Brookline,MA,Northeastern,Colonial Athletic,3000,1933,42.3373586,-71.114047,3.30462718
Bad,Joe Nathan Field,Jack Kaiser Stadium - St Johns ,60526.37216606971,Stony Brook,NY,Stony Brook,Colonial Athletic,1000,1967(Renovated 2011),40.9235662,-73.1223379,34.13159943
Bad,John B. Schuerholz Baseball Complex,The Baseball Factory Field - UMBC ,18142.72532373581,Towson,MD,Towson,Colonial Athletic,500,2001,39.3949845,-76.6137818,104.9644089
Bad,Brooks Field,Coastal Carolina ,115527.97679717555,Wilmington,NC,UNC Wilmington,Colonial Athletic,3000,1989,34.2215559,-77.8733336,10.80797005
Bad,Plumeri Park,The Diamond- VCU ,71701.09978560102,Williamsburg,VA,William & Mary,Colonial Athletic,1000,1999,37.2898694,-76.7326011,30.81233788
Bad,Horner Ballpark,TCU - Texas Christian ,39973.34361705088,Dallas,TX,Dallas Baptist,Conference USA,2000,2013,32.711911,-96.945362,145.1258698
Bad,FIU Baseball Stadium,Miami - Alex Rodriguez Park at Mark Light Field,10581.801342204953,Miami,FL,Florida International University,Conference USA,2000,1996,25.7525026,-80.3778939,1.718752861
Bad,Rudy Abbott Field,Jerry D. Young Memorial Field - U. Alabama Birmingham ,102292.57912161885,Jacksonville,AL,Jacksonville State,Conference USA,1500,1995,33.8255285,-85.7769948,196.5557098
Bad,Liberty Baseball Stadium,Bolding Stadium - Longwood ,69363.71951827468,Lynchburg,VA,Liberty,Conference USA,2500,2013,37.3566079,-79.1770343,266.7917175
Bad,J. C. Love Field at Pat Patterson Park,LSU - Alex Box Stadium ,273914.1972220498,Ruston,LA,Louisiana Tech,Conference USA,3000,1971,32.5299525,-92.6511967,82.16394806
Bad,Reese Smith Jr. Field,Vanderbilt - Hawkins Field ,51297.08374986039,Murfreesboro,TN,Middle Tennessee,Conference USA,2600,1979,35.8512666,-86.3665035,190.0538025
Bad,Presley Askew Field,Arizona - Hi Corbett Field ,392699.8852373509,Las Cruces,NM,New Mexico State,Conference USA,1000,1982,32.2790299,-106.7442164,1210.223267
Bad,Don Sanders Stadium,Texas A&M - Olsen Field at Blue Bell Park ,77601.7623806691,Huntsville,TX,Sam Houston,Conference USA,1164,2006,30.7134961,-95.5398989,133.0574951
Bad,Nick Denes Field,Raymond C. Hand Park- Austin Peay ,93802.1466187449,Bowling Green,KY,Western Kentucky,Conference USA,1500,1968,36.983269,-86.4609476,148.5089417
Bad,Routine Field,Northwestern University  ,98076.61507596215,Franklin,WI,Milwaukee,Horizon,4000,2019,42.917746,-88.0153853,246.5710907
Bad,Bill Aker Baseball Complex,J. Page Hayden Field- Xavier ,13519.912302337068,Highland Heights,KY,Northern Kentucky,Horizon,500,2001,39.0283938,-84.4646546,265.8326416
Good,Oakland Baseball Field,Oakland University ,64.55008782136609,Rochester,MI,Oakland,Horizon,500,—,42.6736629,-83.2107222,258.5016174
Bad,Mastodon Field,Hillsdale,98782.547546983,Fort Wayne,IN,Purdue Fort Wayne,Horizon,200,—,41.1188415,-85.1032027,238.2637024
Bad,Nischwitz Stadium,Woerner Field- Dayton ,14415.848267224705,Dayton,OH,Wright State,Horizon,750,1993,39.7853674,-84.0475271,268.9074707
Bad,Eastwood Field,Charles L. Cost Field - Pittsburgh ,108664.7709159704,Niles,OH,Youngstown State,Horizon,6000,1999,41.2186447,-80.755027,265.255249
Bad,Murray Stadium,Conaty Park - Bryant ,15981.843000338276,Providence,RI,Brown,Ivy,1000,1959,41.8309152,-71.3938315,33.28467941
Check,Robertson Field at Satow Stadium,Jim Houlihan Park at Jack Coffey Field- Fordham ,3140.7188071731157,New York,NY,Columbia,Ivy,360,1921,40.8738988,-73.9152232,6.459773064
Bad,Hoy Field,Binghamton Baseball Stadium Complex - SNY Binghamton ,57072.03295442485,Ithaca,NY,Cornell,Ivy,500,1922,42.4441242,-76.4807209,248.9495392
Bad,Red Rolfe Field at Biondi Park,UMass Lowell ,140435.90278948858,Hanover,NH,Dartmouth,Ivy,"2,000[18]",2008(@ pre-existing field),43.7018824,-72.2827135,152.0080261
Good,Joseph J. O'Donnell Field,Harvard university ,71.00749500873724,Allston,MA,Harvard,Ivy,1600,1898,42.3672034,-71.1285889,2.073992252
Good,Meiklejohn Stadium,Penn - Meiklejohn Stadium ,17.459381617648962,Philadelphia,PA,Pennsylvania,Ivy,850,1999,39.9439966,-75.194052,7.216409206
Bad,Bill Clarke Field,Rutgers University ,26587.56730750769,Princeton,NJ,Princeton,Ivy,850,1961,40.3463317,-74.6482774,35.13656616
Bad,Yale Field,UConn - Elliot Ballpark,80215.27253973261,West Haven,CT,Yale,Ivy,6200,1928,41.3090073,-72.9592516,12.64912987
Bad,Demske Sports Complex,Fred Handler Park- St Bonaventure ,98461.04318518224,Buffalo,NY,Canisius,Metro Atlantic,1200,1989,42.9210419,-78.8577028,189.7103424
Bad,Alumni Baseball Diamond,Jim Houlihan Park at Jack Coffey Field- Fordham ,62179.280826852235,Fairfield,CT,Fairfield,Metro Atlantic,1000,2001,41.1637788,-73.2585124,39.55319214
Bad,City Park,Jim Houlihan Park at Jack Coffey Field- Fordham ,12062.539062248881,New Rochelle,NY,Iona,Metro Atlantic,—,—,40.9300124,-73.7707671,5.791893959
Check,Van Cortlandt Park,Jim Houlihan Park at Jack Coffey Field- Fordham ,4012.128374786118,Bronx,NY,Manhattan,Metro Atlantic,3000,1888,40.8972233,-73.8860668,14.91177559
Bad,James J. McCann Baseball Field,Jim Houlihan Park at Jack Coffey Field- Fordham ,95358.07116642184,Poughkeepsie,NY,Marist,Metro Atlantic,350,1992,41.7179485,-73.9344524,22.56811142
Bad,Straw Family Stadium,The Baseball Factory Field - UMBC ,72469.98235843897,Emmitsburg,MD,Mount St. Mary's,Metro Atlantic,500,2007,39.6786527,-77.3445746,151.8241882
Bad,Bobo Field,Fred Handler Park- St Bonaventure ,125731.67740982,Lewiston,NY,Niagara,Metro Atlantic,—,—,43.1365922,-79.0298831,184.8818207
Bad,Quinnipiac Baseball Field,UConn - Elliot Ballpark,67790.3384116269,Hamden,CT,Quinnipiac,Metro Atlantic,—,—,41.4205126,-72.8912196,32.26938248
Bad,Sonny Pittaro Field,Rutgers University ,37440.51567111466,Lawrenceville,NJ,Rider,Metro Atlantic,2000,—,40.2824299,-74.7465084,35.83496475
Bad,Siena Baseball Field,Varsity Field - SUNY Albany ,7583.138499756094,Loudonville,NY,Siena,Metro Atlantic,500,1950s,42.7187596,-73.7499211,91.9758606
Bad,Joseph J. Jaroschak Field,Sheppard Stadium - Seton Hall ,13180.155749643416,Jersey City,NJ,Saint Peter's,Metro Atlantic,500,1990,40.7265603,-74.0935298,2.48024869
Bad,Lee R. Jackson Field,Charles L. Cost Field - Pittsburgh ,147908.3470377208,Akron,OH,Akron,Mid-American,1500,1967,41.0742244,-81.512838,318.1704712
Bad,Ball Diamond,Bulldog Park - Butler ,75736.01736153146,Muncie,IN,Ball State,Mid-American,1700,—,40.2176773,-85.4216732,287.8858948
Bad,Steller Field,Adrian,68560.23117968216,Bowling Green,OH,Bowling Green,Mid-American,2500,1964,41.3808751,-83.6284529,205.382782
Good,Bill Theunissen Stadium,CMU ,70.7689917472986,Mount Pleasant,MI,Central Michigan,Mid-American,2042,2002,43.575883,-84.779155,240.5145264
Good,Oestrike Stadium,EMU ,0.11333289523075482,Ypsilanti,MI,Eastern Michigan,Mid-American,2500,1971,42.2573881,-83.6487222,242.4703522
Bad,Olga Mural Field at Schoonover Stadium,Charles L. Cost Field - Pittsburgh ,139063.9447492718,Kent,OH,Kent State,Mid-American,1148,2005,41.1359576,-81.3425485,334.628418
Bad,Stanley G. McKie Field at Joseph P. Hayden Jr. Park,J. Page Hayden Field- Xavier ,45979.53881095647,Oxford,OH,Miami (Ohio),Mid-American,1000,2002,39.5127001,-84.7331527,266.9221802
